disease,symptoms,description,precaution_1,precaution_2,precaution_3,precaution_4,precautions,severity_score,risk_level
peptic ulcer diseae,"['vomiting', 'indigestion', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",23,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",23,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",22,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",23,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",27,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",27,high
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",21,high
aids,"['patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",18,medium
aids,"['muscle_wasting', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",15,medium
aids,"['muscle_wasting', 'patches_in_throat', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",14,medium
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",16,medium
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",21,high
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",21,high
aids,"['patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",18,medium
aids,"['muscle_wasting', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",15,medium
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",16,medium
diabetes,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",41,high
diabetes,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",41,high
diabetes,"['weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",37,high
diabetes,"['fatigue', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",38,high
diabetes,"['fatigue', 'weight_loss', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",36,high
diabetes,"['fatigue', 'weight_loss', 'restlessness', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",39,high
diabetes,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",36,high
diabetes,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",36,high
diabetes,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'excessive_hunger', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",37,high
diabetes,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'increased_appetite', 'polyuria']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",37,high
gastroenteritis,"['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",18,medium
gastroenteritis,"['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",18,medium
gastroenteritis,"['sunken_eyes', 'dehydration', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",13,medium
gastroenteritis,"['vomiting', 'dehydration', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",15,medium
gastroenteritis,"['vomiting', 'sunken_eyes', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",14,medium
gastroenteritis,"['vomiting', 'sunken_eyes', 'dehydration']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",12,medium
gastroenteritis,"['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",18,medium
gastroenteritis,"['sunken_eyes', 'dehydration', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",13,medium
gastroenteritis,"['vomiting', 'dehydration', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",15,medium
gastroenteritis,"['vomiting', 'sunken_eyes', 'diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",14,medium
bronchial asthma,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",28,high
bronchial asthma,"['cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",24,high
bronchial asthma,"['fatigue', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",24,high
bronchial asthma,"['fatigue', 'cough', 'breathlessness', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",21,high
bronchial asthma,"['fatigue', 'cough', 'high_fever', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",24,high
bronchial asthma,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",23,high
bronchial asthma,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",24,high
bronchial asthma,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",28,high
bronchial asthma,"['cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",24,high
bronchial asthma,"['fatigue', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",24,high
hypertension,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",21,high
hypertension,"['chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",18,medium
hypertension,"['headache', 'dizziness', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",14,medium
hypertension,"['headache', 'chest_pain', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",17,medium
hypertension,"['headache', 'chest_pain', 'dizziness', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",17,medium
hypertension,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",18,medium
hypertension,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",21,high
hypertension,"['chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",18,medium
hypertension,"['headache', 'dizziness', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",14,medium
hypertension,"['headache', 'chest_pain', 'loss_of_balance', 'lack_of_concentration']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",17,medium
migraine,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",32,high
migraine,"['indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",29,high
migraine,"['acidity', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",27,high
migraine,"['acidity', 'indigestion', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",29,high
migraine,"['acidity', 'indigestion', 'headache', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",27,high
migraine,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",28,high
migraine,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'depression', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",28,high
migraine,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'irritability', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",29,high
migraine,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",30,high
migraine,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",29,high
